news_headline,news_article,news_category,full_text,clean_text
"Apple contractors listened to 1,000 Siri recordings per shift: Report","A contract employee who worked with Apple claimed the company hired contract workers worldwide to listen and 'grade' Siri recordings. The former employee added that Apple expected them to listen to over 1,000 recordings from Siri every shift. Apple said that it has suspended the program after The Guardian reported last month that contract workers also heard people's private conversations.",technology,"Apple contractors listened to 1,000 Siri recordings per shift: Report. A contract employee who worked with Apple claimed the company hired contract workers worldwide to listen and 'grade' Siri recordings. The former employee added that Apple expected them to listen to over 1,000 recordings from Siri every shift. Apple said that it has suspended the program after The Guardian reported last month that contract workers also heard people's private conversations.",apple contractor listen siri recording per shift report contract employee work apple claim company hire contract worker worldwide listen grade siri recording former employee add apple expect listen recording siri every shift apple say suspend program guardian report last month contract worker also hear people private conversation
Samsung files patent for vertically folding smartphone,"Samsung is working on a new smartphone which will fold vertically, according to a patent filed by the company with WIPO (World Intellectual Property Organization). As per the drawings in the filing, the foldable design comes with a central hinge area that can fold both ways. It would have a display that would fold outwards.",technology,"Samsung files patent for vertically folding smartphone. Samsung is working on a new smartphone which will fold vertically, according to a patent filed by the company with WIPO (World Intellectual Property Organization). As per the drawings in the filing, the foldable design comes with a central hinge area that can fold both ways. It would have a display that would fold outwards.",samsung file patent vertically fold smartphone samsung work new smartphone fold vertically accord patent file company wipo world intellectual property organization per drawing filing foldable design come central hinge area fold way would display would fold outwards
Apple's market value falls $44 bn in a day amid US-China trade war,Apple's market value fell $44 billion on Friday amid the US-China trade war. The slump also comes amid US President Donald Trump ordering American companies to immediately start looking for alternatives to manufacturing in China. Apple is heavily dependant on China as almost all of the world's iPhones are made in China and assembled by Foxconn.,technology,Apple's market value falls $44 bn in a day amid US-China trade war. Apple's market value fell $44 billion on Friday amid the US-China trade war. The slump also comes amid US President Donald Trump ordering American companies to immediately start looking for alternatives to manufacturing in China. Apple is heavily dependant on China as almost all of the world's iPhones are made in China and assembled by Foxconn.,apple market value fall bn day amid us china trade war apple market value fall billion friday amid us china trade war slump also come amid us president donald trump order american company immediately start look alternative manufacture china apple heavily dependant china almost world iphone make china assemble foxconn
Apple halts plans for iPhone 'walkie-talkie' feature: Report,"Apple has halted its plans for a feature to turn iPhones into walkie-talkies using long-distance radio waves, The Information reported. The feature could reportedly bypass cellular networks to enable communication in remote areas. The report cited its sources saying that Apple executive Rubén Caballero quitting the iPhone maker was a reason behind Apple dropping the project.",technology,"Apple halts plans for iPhone 'walkie-talkie' feature: Report. Apple has halted its plans for a feature to turn iPhones into walkie-talkies using long-distance radio waves, The Information reported. The feature could reportedly bypass cellular networks to enable communication in remote areas. The report cited its sources saying that Apple executive Rubén Caballero quitting the iPhone maker was a reason behind Apple dropping the project.",apple halt plan iphone walkie talkie feature report apple halt plan feature turn iphone walkie talkie use long distance radio wave information report feature could reportedly bypass cellular network enable communication remote area report cite source say apple executive ruben caballero quit iphone maker reason behind apple drop project
"Chennai engineer again finds Instagram bug, gets $10,000 from Facebook","More than a month after winning $30,000 from Facebook for spotting a flaw in Instagram, Chennai-based security researcher Laxman Muthiyah on Monday said he again discovered a new vulnerability on Instagram. This time he has won $10,000 as part of Facebook's bug bounty program. He spotted ""insufficient protections on a recovery endpoint"", allowing anyone to hack Instagram accounts.",technology,"Chennai engineer again finds Instagram bug, gets $10,000 from Facebook. More than a month after winning $30,000 from Facebook for spotting a flaw in Instagram, Chennai-based security researcher Laxman Muthiyah on Monday said he again discovered a new vulnerability on Instagram. This time he has won $10,000 as part of Facebook's bug bounty program. He spotted ""insufficient protections on a recovery endpoint"", allowing anyone to hack Instagram accounts.",chennai engineer find instagram bug get facebook month win facebook spot flaw instagram chennai base security researcher laxman muthiyah monday say discover new vulnerability instagram time win part facebook bug bounty program spot insufficient protection recovery endpoint allow anyone hack instagram account
"YouTube labels videos by govt, public-funded channels in Hong Kong","YouTube has rolled out its feature to label videos uploaded by channels which receive funding from the government or the public in Hong Kong. The platform, however, drew criticism over not clarifying which government-funded media houses were editorially independent. Earlier, YouTube had disabled around 210 channels spreading false information about the ongoing protests in Hong Kong.",technology,"YouTube labels videos by govt, public-funded channels in Hong Kong. YouTube has rolled out its feature to label videos uploaded by channels which receive funding from the government or the public in Hong Kong. The platform, however, drew criticism over not clarifying which government-funded media houses were editorially independent. Earlier, YouTube had disabled around 210 channels spreading false information about the ongoing protests in Hong Kong.",youtube label video govt public fund channel hong kong youtube roll feature label video upload channel receive funding government public hong kong platform however draw criticism not clarify government fund media house editorially independent earlier youtube disable around channel spread false information ongoing protest hong kong
"Google to shut down job service 'Hire' in 2020, 3 yrs after launch","Google has announced it will shut down its online jobs service 'Hire' in September 2020, around three years after it was launched. ""While Hire has been successful, we're focusing our resources on other products,"" Google said. Hire came into existence after Google acquired Bebop, a startup by VMware Co-founder Diane Greene, for a reported $380 million in 2015.",technology,"Google to shut down job service 'Hire' in 2020, 3 yrs after launch. Google has announced it will shut down its online jobs service 'Hire' in September 2020, around three years after it was launched. ""While Hire has been successful, we're focusing our resources on other products,"" Google said. Hire came into existence after Google acquired Bebop, a startup by VMware Co-founder Diane Greene, for a reported $380 million in 2015.",google shut job service hire yrs launch google announce shut online job service hire september around three year launch hire successful focus resource product google say hire come existence google acquire bebop startup vmware co founder diane greene report million
Focus on work instead of political debates at office: Google to staff,"Google has updated its workplace guidelines, asking employees to focus on work instead of heated debates about politics with colleagues at the workplace. The updated guidelines asked employees to be responsible, helpful, and thoughtful during exchanges on internal message boards or other conversation forums. ""Our primary responsibility is to do the work we've each been hired to do,"" it added.",technology,"Focus on work instead of political debates at office: Google to staff. Google has updated its workplace guidelines, asking employees to focus on work instead of heated debates about politics with colleagues at the workplace. The updated guidelines asked employees to be responsible, helpful, and thoughtful during exchanges on internal message boards or other conversation forums. ""Our primary responsibility is to do the work we've each been hired to do,"" it added.",focus work instead political debate office google staff google update workplace guideline ask employee focus work instead heated debate politic colleague workplace update guideline ask employee responsible helpful thoughtful exchange internal message board conversation forum primary responsibility work hire add
Google to shift Pixel production from China to Vietnam: Report,"Google is planning to move its 'Pixel' smartphone production from China to Vietnam beginning this year, seeking to build a low-cost supply chain in Southeast Asia, news outlet Nikkei reported. This comes amid rising labour costs in China and US-China trade tensions. Google reportedly plans to shift most of its US-bound hardware out of China, including smart speaker 'Google Home'. ",technology,"Google to shift Pixel production from China to Vietnam: Report. Google is planning to move its 'Pixel' smartphone production from China to Vietnam beginning this year, seeking to build a low-cost supply chain in Southeast Asia, news outlet Nikkei reported. This comes amid rising labour costs in China and US-China trade tensions. Google reportedly plans to shift most of its US-bound hardware out of China, including smart speaker 'Google Home'. ",google shift pixel production china vietnam report google plan move pixel smartphone production china vietnam begin year seek build low cost supply chain southeast asia news outlet nikkei report come amid rise labour cost china us china trade tension google reportedly plan shift us bind hardware china include smart speaker google home
New iPhone app Emojivision turns photos into 'emoji-photos',"A new iOS app, Emojivision, lets users see everything as if it was made of emojis. Emojivision breaks down the iPhone camera's sensory input to its elementary colour palette and matches it with the image pixels and the closest relative emoji and then reconstructs the image. The app can be used to take selfies or change existing photos from gallery. 
",technology,"New iPhone app Emojivision turns photos into 'emoji-photos'. A new iOS app, Emojivision, lets users see everything as if it was made of emojis. Emojivision breaks down the iPhone camera's sensory input to its elementary colour palette and matches it with the image pixels and the closest relative emoji and then reconstructs the image. The app can be used to take selfies or change existing photos from gallery. 
",new iphone app emojivision turn photo emoji photo new ios app emojivision let us user see everything make emoji emojivision break iphone camera sensory input elementary colour palette match image pixel close relative emoji reconstruct image app use take selfie change exist photo gallery
Google removes CamScanner app after malware found,"Google has removed PDF creator app CamScanner, which has over 100 million downloads, from Play Store after it was found to contain malware. Russia-based cybersecurity firm Kaspersky said that the malware could have made it possible to show users intrusive ads or snoop on login credentials. According to Kaspersky, recent updates to the app have apparently removed the malware.
",technology,"Google removes CamScanner app after malware found. Google has removed PDF creator app CamScanner, which has over 100 million downloads, from Play Store after it was found to contain malware. Russia-based cybersecurity firm Kaspersky said that the malware could have made it possible to show users intrusive ads or snoop on login credentials. According to Kaspersky, recent updates to the app have apparently removed the malware.
",google remove camscanner app malware find google remove pdf creator app camscanner million download play store find contain malware russia base cybersecurity firm kaspersky say malware could make possible show user intrusive ad snoop login credential accord kaspersky recent update app apparently remove malware
Facebook testing 'Threads' messaging app for Instagram: Reports,"Facebook is reportedly testing a companion messaging app for Instagram called 'Threads' internally. As per reports, the app, which is designed to be used with one's 'close friends' list on Instagram, lets users share their location, speed and battery life, along with text, photo and video messages. In May, Instagram announced it was shutting down its standalone messaging app 'Direct'.",technology,"Facebook testing 'Threads' messaging app for Instagram: Reports. Facebook is reportedly testing a companion messaging app for Instagram called 'Threads' internally. As per reports, the app, which is designed to be used with one's 'close friends' list on Instagram, lets users share their location, speed and battery life, along with text, photo and video messages. In May, Instagram announced it was shutting down its standalone messaging app 'Direct'.",facebook testing thread messaging app instagram report facebook reportedly test companion messaging app instagram call thread internally per report app design use one close friend list instagram let us user share location speed battery life along text photo video message may instagram announce shut standalone messaging app direct
Bell's autonomous drone completes first successful flight in Texas,"Aerospace company Bell on Monday announced that its multicopter UAV completed its first autonomous flight. The drone is designed to handle tasks that range from package delivery to the transport of medical supplies or food during a natural disaster. Bell plans to continue to test the vehicle under an experimental type certificate throughout the remainder of the year. 

",technology,"Bell's autonomous drone completes first successful flight in Texas. Aerospace company Bell on Monday announced that its multicopter UAV completed its first autonomous flight. The drone is designed to handle tasks that range from package delivery to the transport of medical supplies or food during a natural disaster. Bell plans to continue to test the vehicle under an experimental type certificate throughout the remainder of the year. 

",bell autonomous drone complete first successful flight texas aerospace company bell monday announce multicopter uav complete first autonomous flight drone design handle task range package delivery transport medical supply food natural disaster bell plan continue test vehicle experimental type certificate throughout remainder year
Group researching FB's impact on democracy threatens to quit,"A consortium of funders and researchers working with Facebook to study its impact on elections and democracy have threatened to quit, citing only partial access to the data they were promised. They said if Facebook cannot provide the originally specified data by September 30, they recommend winding down the project by 2019 end. Facebook had announced the project in 2018.",technology,"Group researching FB's impact on democracy threatens to quit. A consortium of funders and researchers working with Facebook to study its impact on elections and democracy have threatened to quit, citing only partial access to the data they were promised. They said if Facebook cannot provide the originally specified data by September 30, they recommend winding down the project by 2019 end. Facebook had announced the project in 2018.",group research fb impact democracy threaten quit consortium funder researcher work facebook study impact election democracy threaten quit cite partial access datum promise say facebook not provide originally specify datum september recommend wind project end facebook announce project
India won't compromise security in its telecom networks: MoS,"Answering a question on Huawei, Minister of State for Communications Sanjay Dhotre said India will not compromise the security in its telecom networks. India's 5G trials will likely happen this year and Huawei's participation hasn't yet been decided upon by India. The US had in May blacklisted Huawei over espionage concerns, also reportedly urging allies to block Huawei's telecom equipment.",technology,"India won't compromise security in its telecom networks: MoS. Answering a question on Huawei, Minister of State for Communications Sanjay Dhotre said India will not compromise the security in its telecom networks. India's 5G trials will likely happen this year and Huawei's participation hasn't yet been decided upon by India. The US had in May blacklisted Huawei over espionage concerns, also reportedly urging allies to block Huawei's telecom equipment.",india not compromise security telecom network mos answer question huawei minister state communication sanjay dhotre say india not compromise security telecom network india g trial likely happen year huawei participation not yet decide upon india us may blacklist huawei espionage concern also reportedly urge ally block huawei telecom equipment
J&K cricket board to reach out to players via TV ads amid restrictions,"To reach out to domestic cricketers amid restrictions, J&K Cricket Association has decided to send out communications through advertisement tickers on local TV channels. The tickers will be first used to inform first-class cricketers about the pre-season training camp starting in Jammu on Friday. The decision was taken at a meeting in Delhi attended by J&K team mentor Irfan Pathan.",sports,"J&K cricket board to reach out to players via TV ads amid restrictions. To reach out to domestic cricketers amid restrictions, J&K Cricket Association has decided to send out communications through advertisement tickers on local TV channels. The tickers will be first used to inform first-class cricketers about the pre-season training camp starting in Jammu on Friday. The decision was taken at a meeting in Delhi attended by J&K team mentor Irfan Pathan.",jk cricket board reach player via tv ad amid restriction reach domestic cricketer amid restriction jk cricket association decide send communication advertisement ticker local tv channel ticker first use inform first class cricketer pre season training camp start jammu friday decision take meeting delhi attend jk team mentor irfan pathan
"Mendis, fastest bowler to take 50 ODI wickets, retires from cricket","Sri Lankan spinner Ajantha Mendis, who holds the record for being the fastest bowler to take 50 ODI wickets, has announced his retirement from all forms of cricket. The 34-year-old, who made his international debut in 2008, last played for Sri Lanka in 2015. Mendis took 70, 152 and 66 wickets in 19 Tests, 87 ODIs and 39 T20Is, respectively.",sports,"Mendis, fastest bowler to take 50 ODI wickets, retires from cricket. Sri Lankan spinner Ajantha Mendis, who holds the record for being the fastest bowler to take 50 ODI wickets, has announced his retirement from all forms of cricket. The 34-year-old, who made his international debut in 2008, last played for Sri Lanka in 2015. Mendis took 70, 152 and 66 wickets in 19 Tests, 87 ODIs and 39 T20Is, respectively.",mendis fast bowler take odi wicket retire cricket sri lankan spinner ajantha mendis hold record fast bowler take odi wicket announce retirement form cricket year old make international debut last play sri lanka mendis take wicket test odi tis respectively
"If I was a selector, I would recall Moeen for 4th Ashes Test: Panesar","Spinner Monty Panesar has said that he is expecting England all-rounder Moeen Ali to be recalled for the Old Trafford Test because the ""ball turns there"". ""He is batting good and he has his confidence back. I think he should be included and if I was an England selector, I would recall him for the fourth Test,"" he added.",sports,"If I was a selector, I would recall Moeen for 4th Ashes Test: Panesar. Spinner Monty Panesar has said that he is expecting England all-rounder Moeen Ali to be recalled for the Old Trafford Test because the ""ball turns there"". ""He is batting good and he has his confidence back. I think he should be included and if I was an England selector, I would recall him for the fourth Test,"" he added.",selector would recall moeen th ashe test panesar spinner monty panesar say expect england round moeen ali recall old trafford test ball turn bat good confidence back think include england selector would recall fourth test add
"Cricketer retires aged 85 after taking 7,000 wickets in 60 years","Jamaican fast bowler Cecil Wright has announced his retirement from cricket at the age of 85. Wright launched his career as a professional in England's Central Lancashire League for Crompton and took over 7,000 wickets in his 60-year-long career. At one point in his career, he took 538 wickets in five seasons, averaging one wicket every 27 balls.",sports,"Cricketer retires aged 85 after taking 7,000 wickets in 60 years. Jamaican fast bowler Cecil Wright has announced his retirement from cricket at the age of 85. Wright launched his career as a professional in England's Central Lancashire League for Crompton and took over 7,000 wickets in his 60-year-long career. At one point in his career, he took 538 wickets in five seasons, averaging one wicket every 27 balls.",cricketer retire aged take wicket year jamaican fast bowler cecil wright announce retirement cricket age wright launch career professional england central lancashire league crompton take wicket year long career one point career take wicket five season average one wicket every ball
Dhoni unlikely to be picked for T20I series vs South Africa: Reports,"Former India captain MS Dhoni is unlikely to be selected for India's three-match T20I home series against South Africa starting September 15 in Dharamshala, as per reports. ""There are only 22 T20 Internationals before India play their first World T20 game and selectors are clear in their vision that it's time to move forward,"" a BCCI official said.",sports,"Dhoni unlikely to be picked for T20I series vs South Africa: Reports. Former India captain MS Dhoni is unlikely to be selected for India's three-match T20I home series against South Africa starting September 15 in Dharamshala, as per reports. ""There are only 22 T20 Internationals before India play their first World T20 game and selectors are clear in their vision that it's time to move forward,"" a BCCI official said.",dhoni unlikely pick ti series vs south africa report former india captain ms dhoni unlikely select india three match ti home series south africa start september dharamshala per report international india play first world game selector clear vision time move forward bcci official say
"Fan asks Neesham who his favourite Indian cricketer is, gets trolled","New Zealand all-rounder Jimmy Neesham trolled a fan after the latter asked him who his favourite Indian cricketer is. Responding to the fan during a question-answer session on Instagram, Neesham shared a picture of himself with New Zealand spinner Ish Sodhi, who was born in Ludhiana, Punjab. Sodhi had made his international debut in 2013.",sports,"Fan asks Neesham who his favourite Indian cricketer is, gets trolled. New Zealand all-rounder Jimmy Neesham trolled a fan after the latter asked him who his favourite Indian cricketer is. Responding to the fan during a question-answer session on Instagram, Neesham shared a picture of himself with New Zealand spinner Ish Sodhi, who was born in Ludhiana, Punjab. Sodhi had made his international debut in 2013.",fan ask neesham favourite indian cricketer get troll new zealand round jimmy neesham troll fan latter ask favourite indian cricketer respond fan question answer session instagram neesham share picture new zealand spinner ish sodhi bear ludhiana punjab sodhi make international debut
Bury FC expelled from English Football League after 125 years,"Bury FC has become the first club to be expelled from English Football League (EFL) since 1992. The club, which was founded in 1885 and joined the EFL in 1894, failed to resolve financial problems or find a new buyer. EFL executive chairwoman Debbie Jevans described Bury's departure as ""one of the darkest days"". Bury had won FA Cup twice.",sports,"Bury FC expelled from English Football League after 125 years. Bury FC has become the first club to be expelled from English Football League (EFL) since 1992. The club, which was founded in 1885 and joined the EFL in 1894, failed to resolve financial problems or find a new buyer. EFL executive chairwoman Debbie Jevans described Bury's departure as ""one of the darkest days"". Bury had won FA Cup twice.",bury fc expel english football league year bury fc become first club expel english football league efl since club found join efl fail resolve financial problem find new buyer efl executive chairwoman debbie jevan describe bury departure one dark day bury win fa cup twice
Kyrgios issues clarification after calling ATP corrupt over ₹80L fine,"World number 30 Nick Kyrgios has issued a clarification after calling ATP corrupt over the ₹80-lakh fine imposed on him following his outburst in the Cincinnati Open. ""I was fined $113K for what?"" he had earlier said. ""It wasn't the correct choice of words and...my intention was to address what I see as double standards rather than corruption,"" he tweeted.",sports,"Kyrgios issues clarification after calling ATP corrupt over ₹80L fine. World number 30 Nick Kyrgios has issued a clarification after calling ATP corrupt over the ₹80-lakh fine imposed on him following his outburst in the Cincinnati Open. ""I was fined $113K for what?"" he had earlier said. ""It wasn't the correct choice of words and...my intention was to address what I see as double standards rather than corruption,"" he tweeted.",kyrgios issue clarification call atp corrupt l fine world number nick kyrgio issue clarification call atp corrupt lakh fine impose follow outburst cincinnati open fine k earlier say not correct choice word intention address see double standard rather corruption tweet
"Warne criticises Matt Prior for mocking Nathan Lyon, asks him to grow up","Ex-Australia leg-spinner Shane Warne took to Twitter to criticise Matt Prior for mocking Australian spinner Nathan Lyon following the third Ashes Test, which England won by 1 wicket. ""Nathan Lyon...#mothercricket #sleepwell,"" Matt Prior had tweeted. ""Excuse me? Just because Lyon knocked you over for fun, there’s still no need for that kind of silly and immature behaviour...Grow up,"" Warne wrote.",sports,"Warne criticises Matt Prior for mocking Nathan Lyon, asks him to grow up. Ex-Australia leg-spinner Shane Warne took to Twitter to criticise Matt Prior for mocking Australian spinner Nathan Lyon following the third Ashes Test, which England won by 1 wicket. ""Nathan Lyon...#mothercricket #sleepwell,"" Matt Prior had tweeted. ""Excuse me? Just because Lyon knocked you over for fun, there’s still no need for that kind of silly and immature behaviour...Grow up,"" Warne wrote.",warne criticise matt prior mock nathan lyon ask grow ex australia leg spinner shane warne take twitter criticise matt prior mock australian spinner nathan lyon follow third ashe test england win wicket nathan lyon mothercricket sleepwell matt prior tweet excuse lyon knock fun still no need kind silly immature behaviour grow warne write
